,code,name,network,elevation_m,site_property,geometry,X,Y
SNOTEL:916_MT_SNTL,916_MT_SNTL,Albro Lake,SNOTEL,2529,"{'county': 'Madison', 'state': 'Montana', 'site_comments': 'beginDate=9/1/1996 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200050701|HUD=10020005|TimeZone=-8.0|actonId=11D28S|shefId=ABRM8|stationTriplet=916:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (408228.8384146725 152738.80034615006),408228.8384146725,152738.80034615006
SNOTEL:307_MT_SNTL,307_MT_SNTL,Badger Pass,SNOTEL,2103,"{'county': 'Pondera', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1968 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100302010201|HUD=10030201|TimeZone=-8.0|actonId=13A15S|shefId=BADM8|stationTriplet=307:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (337945.3913908608 437136.8377398881),337945.3913908608,437136.8377398881
SNOTEL:311_MT_SNTL,311_MT_SNTL,Banfield Mountain,SNOTEL,1706,"{'county': 'Lincoln', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1968 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170101011202|HUD=17010101|TimeZone=-8.0|actonId=15A08S|shefId=BANM8|stationTriplet=311:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (161741.98470290203 496830.67661467433),161741.98470290203,496830.67661467433
SNOTEL:313_MT_SNTL,313_MT_SNTL,Barker Lakes,SNOTEL,2514,"{'county': 'Deer Lodge', 'state': 'Montana', 'site_comments': 'beginDate=8/1/1977 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102010304|HUD=17010201|TimeZone=-8.0|actonId=13C44S|shefId=BRLM8|stationTriplet=313:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (319506.823531337 211770.72920115865),319506.823531337,211770.72920115865
SNOTEL:315_MT_SNTL,315_MT_SNTL,Basin Creek,SNOTEL,2188,"{'county': 'Silver Bow', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1976 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102010201|HUD=10020005|TimeZone=-8.0|actonId=12D09S|shefId=BSCM8|stationTriplet=315:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (365320.40562424716 176490.91162459963),365320.40562424716,176490.91162459963
SNOTEL:318_MT_SNTL,318_MT_SNTL,Beagle Springs,SNOTEL,2697,"{'county': 'Beaverhead', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1976 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200010501|HUD=10020001|TimeZone=-8.0|actonId=12E08S|shefId=BEAM8|stationTriplet=318:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (322942.22764167184 30779.69382502922),322942.22764167184,30779.69382502922
SNOTEL:328_MT_SNTL,328_MT_SNTL,Beaver Creek,SNOTEL,2392,"{'county': 'Gallatin', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1966 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200070402|HUD=10020007|TimeZone=-8.0|actonId=11E38S|shefId=BEVM8|stationTriplet=328:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (453342.5611756174 79510.11356198217),453342.5611756174,79510.11356198217
SNOTEL:346_MT_SNTL,346_MT_SNTL,Bisson Creek,SNOTEL,1499,"{'county': 'Lake', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1988 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102120602|HUD=17010212|TimeZone=-8.0|actonId=13B25S|shefId=BISM8|stationTriplet=346:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (262581.6363626915 391259.51063261944),262581.6363626915,391259.51063261944
SNOTEL:347_MT_SNTL,347_MT_SNTL,Black Bear,SNOTEL,2490,"{'county': 'Gallatin', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1967 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200070202|HUD=10020007|TimeZone=-8.0|actonId=11E35S|shefId=BLBM8|stationTriplet=347:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (470508.53322144435 30062.55608571757),470508.53322144435,30062.55608571757
SNOTEL:349_MT_SNTL,349_MT_SNTL,Black Pine,SNOTEL,2197,"{'county': 'Granite', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1965 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102020203|HUD=17010202|TimeZone=-8.0|actonId=13C13S|shefId=BLKM8|stationTriplet=349:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (298068.9263599425 248051.27249736869),298068.9263599425,248051.27249736869
