,datetime,Daily Precipitation (in),Daily Snow Depth (in),Daily Average Temperature (F),Daily Maximum Temperature (F),Daily Minimum Temperature (F),Daily Water Equivalent (in),station,Year,Month,Density (%),Density (kg/m3),Daily Precipitation (cm),Daily Snow Depth (cm),Daily Water Equivalent (cm),Daily Average Temp (C)
0,2021-10-02,0.0,,51.08,60.98,40.1,,Brackett,2021,10,,,0.0,,,10.6
1,2021-10-02,0.0,,49.46,62.42,35.78,,Sacajawea,2021,10,,,0.0,,,9.700000000000001
2,2021-10-03,0.0,,55.76,66.2,44.06,,Sacajawea,2021,10,,,0.0,,,13.199999999999998
3,2021-10-03,0.0,,55.58,64.4,47.66,,Brackett,2021,10,,,0.0,,,13.1
4,2021-10-04,0.0,,56.66,71.6,41.36,,Sacajawea,2021,10,,,0.0,,,13.699999999999998
5,2021-10-04,0.0,,57.92,71.78,49.64,,Brackett,2021,10,,,0.0,,,14.400000000000002
6,2021-10-05,0.0,,58.46,70.88,49.64,,Brackett,2021,10,,,0.0,,,14.700000000000001
7,2021-10-05,0.0,,58.64,71.96,48.56,,Sacajawea,2021,10,,,0.0,,,14.799999999999999
8,2021-10-06,0.0,,52.16,62.24,43.34,,Brackett,2021,10,,,0.0,,,11.199999999999998
9,2021-10-06,0.1,,54.14,63.5,42.26,,Sacajawea,2021,10,,,0.254,,,12.3
10,2021-10-07,0.6,,41.54,46.22,37.76,,Brackett,2021,10,,,1.524,,,5.3
11,2021-10-07,0.4,,41.54,47.48,36.32,,Sacajawea,2021,10,,,1.016,,,5.3
12,2021-10-08,0.2,,40.82,46.22,37.4,,Brackett,2021,10,,,0.508,,,4.9
13,2021-10-08,0.3,,41.72,48.38,36.86,,Sacajawea,2021,10,,,0.762,,,5.3999999999999995
14,2021-10-09,0.1,,39.02,44.78,35.24,,Brackett,2021,10,,,0.254,,,3.9000000000000017
15,2021-10-09,0.0,,41.72,46.4,39.38,,Sacajawea,2021,10,,,0.0,,,5.3999999999999995
16,2021-10-10,0.4,,39.56,50.36,30.02,,Brackett,2021,10,,,1.016,,,4.200000000000001
17,2021-10-10,0.4,,42.8,52.34,32.36,,Sacajawea,2021,10,,,1.016,,,5.999999999999998
18,2021-10-11,1.7,3.0,24.26,30.02,20.84,0.4,Brackett,2021,10,13.333333333333334,133.33333333333334,4.318,7.62,1.016,-4.299999999999999
19,2021-10-11,1.4,1.0,26.96,32.36,23.72,0.2,Sacajawea,2021,10,20.0,200.0,3.5559999999999996,2.54,0.508,-2.7999999999999994
20,2021-10-12,0.2,16.0,22.46,25.88,20.84,2.0,Brackett,2021,10,12.5,125.0,0.508,40.64,5.08,-5.3
21,2021-10-12,0.2,10.0,25.16,29.12,23.72,1.4,Sacajawea,2021,10,13.999999999999998,139.99999999999997,0.508,25.4,3.5559999999999996,-3.8000000000000003
22,2021-10-13,0.2,9.0,28.22,35.06,24.26,1.4,Sacajawea,2021,10,15.555555555555555,155.55555555555554,0.508,22.86,3.5559999999999996,-2.1000000000000005
23,2021-10-13,0.2,12.0,25.16,32.36,21.56,2.1,Brackett,2021,10,17.5,175.0,0.508,30.48,5.3340000000000005,-3.8000000000000003
24,2021-10-14,0.3,8.0,28.76,30.2,27.32,1.6,Sacajawea,2021,10,20.0,200.0,0.762,20.32,4.064,-1.7999999999999992
25,2021-10-14,0.3,15.0,25.52,26.78,24.26,2.3,Brackett,2021,10,15.333333333333332,153.33333333333331,0.762,38.1,5.842,-3.6000000000000005
26,2021-10-15,0.1,16.0,33.26,39.74,25.34,2.5,Brackett,2021,10,15.625,156.25,0.254,40.64,6.35,0.6999999999999988
27,2021-10-15,0.1,10.0,36.86,42.26,28.94,1.8,Sacajawea,2021,10,18.0,180.0,0.254,25.4,4.572,2.6999999999999997
28,2021-10-16,0.0,13.0,44.24,51.98,37.76,2.4,Brackett,2021,10,18.46153846153846,184.61538461538458,0.0,33.02,6.096,6.800000000000001
29,2021-10-16,0.0,8.0,45.86,55.58,35.78,1.7,Sacajawea,2021,10,21.25,212.5,0.0,20.32,4.318,7.699999999999999
30,2021-10-17,0.0,12.0,48.56,61.16,41.9,2.4,Brackett,2021,10,20.0,200.0,0.0,30.48,6.096,9.200000000000001
31,2021-10-17,0.0,7.0,46.04,61.52,32.36,1.6,Sacajawea,2021,10,22.857142857142858,228.57142857142858,0.0,17.78,4.064,7.799999999999999
32,2021-10-18,0.0,10.0,44.78,55.76,35.24,2.3,Brackett,2021,10,23.0,230.0,0.0,25.4,5.842,7.1000000000000005
33,2021-10-18,0.0,5.0,43.7,58.46,33.26,1.4,Sacajawea,2021,10,27.999999999999996,279.99999999999994,0.0,12.7,3.5559999999999996,6.500000000000002
34,2021-10-19,0.0,4.0,35.24,44.96,29.3,1.2,Sacajawea,2021,10,30.0,300.0,0.0,10.16,3.048,1.8000000000000012
35,2021-10-19,0.0,8.0,34.16,42.08,30.74,2.2,Brackett,2021,10,27.500000000000004,275.00000000000006,0.0,20.32,5.588000000000001,1.1999999999999982
36,2021-10-20,0.0,8.0,40.1,50.72,29.66,2.0,Brackett,2021,10,25.0,250.0,0.0,20.32,5.08,4.500000000000001
