,datetime,Daily Precipitation (in),Daily Snow Depth (in),Daily Average Temperature (F),Daily Maximum Temperature (F),Daily Minimum Temperature (F),Daily Water Equivalent (in),station,Year,Month,Density (%),Density (kg/m3),Daily Precipitation (cm),Daily Snow Depth (cm),Daily Water Equivalent (cm),Daily Average Temp (C)
0,1994-09-29,,,47.3,55.4,42.8,,Brackett,1994,9,,,,,,8.499999999999998
1,1994-09-30,,,46.04,53.06,40.82,,Brackett,1994,9,,,,,,7.799999999999999
2,1994-10-01,0.5,,48.2,63.14,34.34,,Brackett,1994,10,,,1.27,,,9.000000000000002
3,1994-10-02,0.0,,27.86,36.14,19.22,,Brackett,1994,10,,,0.0,,,-2.3000000000000003
4,1994-10-03,0.1,,21.2,23.72,16.88,,Brackett,1994,10,,,0.254,,,-6.0
5,1994-10-04,0.2,,29.66,37.76,22.28,,Brackett,1994,10,,,0.508,,,-1.2999999999999998
6,1994-10-05,0.0,,43.88,55.04,37.04,,Brackett,1994,10,,,0.0,,,6.600000000000001
7,1994-10-06,0.0,,36.32,39.74,32.0,,Brackett,1994,10,,,0.0,,,2.4000000000000004
8,1994-10-07,0.0,,38.48,46.94,34.34,,Brackett,1994,10,,,0.0,,,3.5999999999999983
9,1994-10-08,0.0,,44.24,52.88,34.88,,Brackett,1994,10,,,0.0,,,6.800000000000001
10,1994-10-09,0.0,,49.64,59.9,42.44,,Brackett,1994,10,,,0.0,,,9.8
11,1994-10-10,0.0,,50.18,60.08,42.44,,Brackett,1994,10,,,0.0,,,10.100000000000001
12,1994-10-11,0.2,,38.84,48.38,28.04,,Brackett,1994,10,,,0.508,,,3.800000000000002
13,1994-10-12,0.0,,31.1,39.02,26.6,,Brackett,1994,10,,,0.0,,,-0.4999999999999992
14,1994-10-13,0.0,,31.82,37.94,25.88,,Brackett,1994,10,,,0.0,,,-0.09999999999999984
15,1994-10-14,0.4,,38.12,50.18,28.76,,Brackett,1994,10,,,1.016,,,3.3999999999999986
16,1994-10-15,0.7,,25.88,29.84,21.2,,Brackett,1994,10,,,1.7779999999999998,,,-3.4000000000000004
17,1994-10-16,0.2,,28.4,34.34,23.0,0.7,Brackett,1994,10,,,0.508,,1.7779999999999998,-2.000000000000001
18,1994-10-17,0.1,,34.16,46.04,30.38,0.9,Brackett,1994,10,,,0.254,,2.286,1.1999999999999982
19,1994-10-18,0.0,,31.82,37.94,29.3,1.0,Brackett,1994,10,,,0.0,,2.54,-0.09999999999999984
20,1994-10-19,0.0,,36.14,41.36,30.38,1.0,Brackett,1994,10,,,0.0,,2.54,2.3000000000000003
21,1994-10-20,0.1,,35.96,44.42,31.64,1.0,Brackett,1994,10,,,0.254,,2.54,2.2000000000000006
22,1994-10-21,0.2,,31.1,36.86,24.44,1.0,Brackett,1994,10,,,0.508,,2.54,-0.4999999999999992
23,1994-10-22,0.0,,27.86,32.9,23.54,1.1,Brackett,1994,10,,,0.0,,2.7940000000000005,-2.3000000000000003
24,1994-10-23,0.0,,31.1,35.6,26.24,1.1,Brackett,1994,10,,,0.0,,2.7940000000000005,-0.4999999999999992
25,1994-10-24,0.1,,39.02,49.82,26.78,1.1,Brackett,1994,10,,,0.254,,2.7940000000000005,3.9000000000000017
